"bike","route_nr","waypoint_nr","distance","duration"
"1","1","1","73.7","12.1"
"1","1","2","21","9.5"
"1","1","3","54.4","8.9"
"1","1","4","147.2","24.1"
"1","1","5","506.8","228.1"
"1","1","6","53.3","24"
"1","1","7","1.9","0.8"
"1","1","8","171.6","77.2"
"1","1","9","82.4","13.5"
"1","1","10","11.3","1.8"
"1","1","11","36.8","6"
"1","1","12","279.3","161.4"
"1","1","13","229.7","37.6"
"1","1","14","29.2","4.8"
"1","1","15","117.7","19.3"
"1","1","16","11.4","5.1"
"1","1","17","205.6","92.5"
"1","1","18","292.2","47.8"
"1","1","19","192.9","31.6"
"1","1","20","15.5","2.5"
"1","1","21","392.4","64.2"
"1","1","22","78.5","12.8"
"1","1","23","22.5","3.7"
"1","1","24","374.8","61.3"
"1","1","25","291.7","47.8"
"1","1","26","73.8","33.2"
"1","1","27","345.1","56.5"
"1","1","28","797.7","222.6"
"1","1","29","82.4","13.5"
"1","1","30","149.4","24.4"
"1","1","31","120.9","31.1"
"1","1","32","487.3","123.2"
"1","1","33","182.8","82.3"
"1","1","34","32.3","5.3"
"1","1","35","388.7","63.6"
"1","1","36","95.9","15.7"
"1","1","37","111","18.2"
"1","1","38","346.1","56.6"
"1","1","39","151.6","30.9"
"1","1","40","18.1","11.2"
"1","1","41","4.4","0.7"
"1","1","42","4.7","2.1"
"1","1","43","253.6","114.1"
"1","1","44","15.7","2.6"
"1","1","45","7.3","3.3"
"1","1","46","390.2","65.8"
"1","1","47","462.3","75.6"
"1","1","48","263.7","43.4"
"1","1","49","22","9.9"
"1","1","50","14.1","6.3"
"1","1","51","32.1","11.6"
"1","1","52","78.5","12.8"
"1","1","53","0","0"
"1","2","1","78.5","12.8"
"1","2","2","38.8","14"
"1","2","3","284.1","47.8"
"1","2","4","1035.7","171.4"
"1","2","5","136","22.3"
"1","2","6","11.5","5.2"
"1","2","7","102.6","26.4"
"1","2","8","48.6","12.5"
"1","2","9","32.3","8.3"
"1","2","10","41.8","7.5"
"1","2","11","37.3","8.4"
"1","2","12","0","0"
"1","3","1","37.3","8.4"
"1","3","2","41.8","7.5"
"1","3","3","32.3","8.3"
"1","3","4","48.6","12.5"
"1","3","5","102.6","26.4"
"1","3","6","11.5","5.2"
"1","3","7","228.2","37.3"
"1","3","8","460.3","75.3"
"1","3","9","779.6","127.6"
"1","3","10","15","2.5"
"1","3","11","18.1","3"
"1","3","12","13.9","2.3"
"1","3","13","62.1","10.2"
"1","3","14","1060.8","173.6"
